NIR_No,Rows,year,test,loc,cross,plant_no,color,bar_code
NIR-07425,23,2021,LO-HP 6,PLY,12,RM19-3863,2,2021_PLY_LO-HP 6_12_RM19-3863_2_NIR-07425
NIR-07424,18,2021,LO-HP 6,PLY,12,RM19-3863,1,2021_PLY_LO-HP 6_12_RM19-3863_1_NIR-07424
NIR-07423,48,2021,LO-HP 6,PLY,11,N19-1159,3,2021_PLY_LO-HP 6_11_N19-1159_3_NIR-07423
NIR-07422,38,2021,LO-HP 6,PLY,11,N19-1159,2,2021_PLY_LO-HP 6_11_N19-1159_2_NIR-07422
NIR-07421,13,2021,LO-HP 6,PLY,11,N19-1159,1,2021_PLY_LO-HP 6_11_N19-1159_1_NIR-07421
NIR-07420,54,2021,LO-HP 6,PLY,10,N19-0905,3,2021_PLY_LO-HP 6_10_N19-0905_3_NIR-07420
NIR-07419,32,2021,LO-HP 6,PLY,10,N19-0905,2,2021_PLY_LO-HP 6_10_N19-0905_2_NIR-07419
NIR-07418,12,2021,LO-HP 6,PLY,10,N19-0905,1,2021_PLY_LO-HP 6_10_N19-0905_1_NIR-07418
NIR-07417,46,2021,LO-HP 6,PLY,9,N19-0899,3,2021_PLY_LO-HP 6_9_N19-0899_3_NIR-07417
NIR-07416,36,2021,LO-HP 6,PLY,9,N19-0899,2,2021_PLY_LO-HP 6_9_N19-0899_2_NIR-07416
NIR-07415,14,2021,LO-HP 6,PLY,9,N19-0899,1,2021_PLY_LO-HP 6_9_N19-0899_1_NIR-07415
NIR-07414,58,2021,LO-HP 6,PLY,8,RM19-3875-2,3,2021_PLY_LO-HP 6_8_RM19-3875-2_3_NIR-07414
NIR-07413,26,2021,LO-HP 6,PLY,8,RM19-3875-2,2,2021_PLY_LO-HP 6_8_RM19-3875-2_2_NIR-07413
NIR-07412,3,2021,LO-HP 6,PLY,8,RM19-3875-2,1,2021_PLY_LO-HP 6_8_RM19-3875-2_1_NIR-07412
NIR-07411,41,2021,LO-HP 6,PLY,7,N19-0676,3,2021_PLY_LO-HP 6_7_N19-0676_3_NIR-07411
NIR-07410,39,2021,LO-HP 6,PLY,7,N19-0676,2,2021_PLY_LO-HP 6_7_N19-0676_2_NIR-07410
NIR-07409,20,2021,LO-HP 6,PLY,7,N19-0676,1,2021_PLY_LO-HP 6_7_N19-0676_1_NIR-07409
NIR-07408,60,2021,LO-HP 6,PLY,6,N19-0672,3,2021_PLY_LO-HP 6_6_N19-0672_3_NIR-07408
NIR-07407,21,2021,LO-HP 6,PLY,6,N19-0672,2,2021_PLY_LO-HP 6_6_N19-0672_2_NIR-07407
NIR-07406,2,2021,LO-HP 6,PLY,6,N19-0672,1,2021_PLY_LO-HP 6_6_N19-0672_1_NIR-07406
NIR-07405,52,2021,LO-HP 6,PLY,5,N19-0435,3,2021_PLY_LO-HP 6_5_N19-0435_3_NIR-07405
NIR-07404,34,2021,LO-HP 6,PLY,5,N19-0435,2,2021_PLY_LO-HP 6_5_N19-0435_2_NIR-07404
NIR-07403,11,2021,LO-HP 6,PLY,5,N19-0435,1,2021_PLY_LO-HP 6_5_N19-0435_1_NIR-07403
NIR-07402,49,2021,LO-HP 6,PLY,4,N19-0323-2,3,2021_PLY_LO-HP 6_4_N19-0323-2_3_NIR-07402
NIR-07401,33,2021,LO-HP 6,PLY,4,N19-0323-2,2,2021_PLY_LO-HP 6_4_N19-0323-2_2_NIR-07401
NIR-07400,19,2021,LO-HP 6,PLY,4,N19-0323-2,1,2021_PLY_LO-HP 6_4_N19-0323-2_1_NIR-07400
NIR-07399,59,2021,LO-HP 6,PLY,3,N19-0323,3,2021_PLY_LO-HP 6_3_N19-0323_3_NIR-07399
NIR-07398,30,2021,LO-HP 6,PLY,3,N19-0323,2,2021_PLY_LO-HP 6_3_N19-0323_2_NIR-07398
NIR-07397,15,2021,LO-HP 6,PLY,3,N19-0323,1,2021_PLY_LO-HP 6_3_N19-0323_1_NIR-07397
NIR-07396,53,2021,LO-HP 6,PLY,2,N19-0269,3,2021_PLY_LO-HP 6_2_N19-0269_3_NIR-07396
NIR-07395,40,2021,LO-HP 6,PLY,2,N19-0269,2,2021_PLY_LO-HP 6_2_N19-0269_2_NIR-07395
NIR-07394,6,2021,LO-HP 6,PLY,2,N19-0269,1,2021_PLY_LO-HP 6_2_N19-0269_1_NIR-07394
NIR-07393,51,2021,LO-HP 6,PLY,1,N19-0076,3,2021_PLY_LO-HP 6_1_N19-0076_3_NIR-07393
NIR-07392,37,2021,LO-HP 6,PLY,1,N19-0076,2,2021_PLY_LO-HP 6_1_N19-0076_2_NIR-07392
NIR-07391,7,2021,LO-HP 6,PLY,1,N19-0076,1,2021_PLY_LO-HP 6_1_N19-0076_1_NIR-07391
NIR-07530,69,2021,LP HOLL 5,CAS,20,Osage,4,2021_CAS_LP HOLL 5_20_Osage_4_NIR-07530
NIR-07529,48,2021,LP HOLL 5,CAS,20,Osage,3,2021_CAS_LP HOLL 5_20_Osage_3_NIR-07529
NIR-07528,21,2021,LP HOLL 5,CAS,20,Osage,2,2021_CAS_LP HOLL 5_20_Osage_2_NIR-07528
NIR-07527,13,2021,LP HOLL 5,CAS,20,Osage,1,2021_CAS_LP HOLL 5_20_Osage_1_NIR-07527
NIR-07526,79,2021,LP HOLL 5,CAS,19,N16-1296,4,2021_CAS_LP HOLL 5_19_N16-1296_4_NIR-07526
NIR-07525,41,2021,LP HOLL 5,CAS,19,N16-1296,3,2021_CAS_LP HOLL 5_19_N16-1296_3_NIR-07525
NIR-07524,26,2021,LP HOLL 5,CAS,19,N16-1296,2,2021_CAS_LP HOLL 5_19_N16-1296_2_NIR-07524
NIR-07523,4,2021,LP HOLL 5,CAS,19,N16-1296,1,2021_CAS_LP HOLL 5_19_N16-1296_1_NIR-07523
NIR-07522,78,2021,LP HOLL 5,CAS,18,NC-Miller,4,2021_CAS_LP HOLL 5_18_NC-Miller_4_NIR-07522
NIR-07521,52,2021,LP HOLL 5,CAS,18,NC-Miller,3,2021_CAS_LP HOLL 5_18_NC-Miller_3_NIR-07521
NIR-07520,40,2021,LP HOLL 5,CAS,18,NC-Miller,2,2021_CAS_LP HOLL 5_18_NC-Miller_2_NIR-07520
NIR-07519,10,2021,LP HOLL 5,CAS,18,NC-Miller,1,2021_CAS_LP HOLL 5_18_NC-Miller_1_NIR-07519
NIR-07518,74,2021,LP HOLL 5,CAS,17,N19-1653,4,2021_CAS_LP HOLL 5_17_N19-1653_4_NIR-07518
NIR-07517,56,2021,LP HOLL 5,CAS,17,N19-1653,3,2021_CAS_LP HOLL 5_17_N19-1653_3_NIR-07517
NIR-07516,25,2021,LP HOLL 5,CAS,17,N19-1653,2,2021_CAS_LP HOLL 5_17_N19-1653_2_NIR-07516
NIR-07515,2,2021,LP HOLL 5,CAS,17,N19-1653,1,2021_CAS_LP HOLL 5_17_N19-1653_1_NIR-07515
NIR-07514,75,2021,LP HOLL 5,CAS,16,N19-1643,4,2021_CAS_LP HOLL 5_16_N19-1643_4_NIR-07514
NIR-07513,58,2021,LP HOLL 5,CAS,16,N19-1643,3,2021_CAS_LP HOLL 5_16_N19-1643_3_NIR-07513
NIR-07512,30,2021,LP HOLL 5,CAS,16,N19-1643,2,2021_CAS_LP HOLL 5_16_N19-1643_2_NIR-07512
NIR-07511,19,2021,LP HOLL 5,CAS,16,N19-1643,1,2021_CAS_LP HOLL 5_16_N19-1643_1_NIR-07511
NIR-07510,62,2021,LP HOLL 5,CAS,15,N19-1641,4,2021_CAS_LP HOLL 5_15_N19-1641_4_NIR-07510
NIR-07509,45,2021,LP HOLL 5,CAS,15,N19-1641,3,2021_CAS_LP HOLL 5_15_N19-1641_3_NIR-07509
NIR-07508,37,2021,LP HOLL 5,CAS,15,N19-1641,2,2021_CAS_LP HOLL 5_15_N19-1641_2_NIR-07508
NIR-07507,1,2021,LP HOLL 5,CAS,15,N19-1641,1,2021_CAS_LP HOLL 5_15_N19-1641_1_NIR-07507
NIR-07506,70,2021,LP HOLL 5,CAS,14,N19-1634,4,2021_CAS_LP HOLL 5_14_N19-1634_4_NIR-07506
NIR-07505,57,2021,LP HOLL 5,CAS,14,N19-1634,3,2021_CAS_LP HOLL 5_14_N19-1634_3_NIR-07505
NIR-07504,22,2021,LP HOLL 5,CAS,14,N19-1634,2,2021_CAS_LP HOLL 5_14_N19-1634_2_NIR-07504
NIR-07503,18,2021,LP HOLL 5,CAS,14,N19-1634,1,2021_CAS_LP HOLL 5_14_N19-1634_1_NIR-07503
NIR-07502,63,2021,LP HOLL 5,CAS,13,N19-1628,4,2021_CAS_LP HOLL 5_13_N19-1628_4_NIR-07502
NIR-07501,44,2021,LP HOLL 5,CAS,13,N19-1628,3,2021_CAS_LP HOLL 5_13_N19-1628_3_NIR-07501
NIR-07500,31,2021,LP HOLL 5,CAS,13,N19-1628,2,2021_CAS_LP HOLL 5_13_N19-1628_2_NIR-07500
NIR-07499,9,2021,LP HOLL 5,CAS,13,N19-1628,1,2021_CAS_LP HOLL 5_13_N19-1628_1_NIR-07499
NIR-07498,68,2021,LP HOLL 5,CAS,12,N19-1586,4,2021_CAS_LP HOLL 5_12_N19-1586_4_NIR-07498
NIR-07497,55,2021,LP HOLL 5,CAS,12,N19-1586,3,2021_CAS_LP HOLL 5_12_N19-1586_3_NIR-07497
NIR-07496,27,2021,LP HOLL 5,CAS,12,N19-1586,2,2021_CAS_LP HOLL 5_12_N19-1586_2_NIR-07496
NIR-07495,16,2021,LP HOLL 5,CAS,12,N19-1586,1,2021_CAS_LP HOLL 5_12_N19-1586_1_NIR-07495
NIR-07494,77,2021,LP HOLL 5,CAS,11,N19-1585,4,2021_CAS_LP HOLL 5_11_N19-1585_4_NIR-07494
NIR-07493,51,2021,LP HOLL 5,CAS,11,N19-1585,3,2021_CAS_LP HOLL 5_11_N19-1585_3_NIR-07493
NIR-07492,34,2021,LP HOLL 5,CAS,11,N19-1585,2,2021_CAS_LP HOLL 5_11_N19-1585_2_NIR-07492
NIR-07491,14,2021,LP HOLL 5,CAS,11,N19-1585,1,2021_CAS_LP HOLL 5_11_N19-1585_1_NIR-07491
NIR-07490,61,2021,LP HOLL 5,CAS,10,N19-1572,4,2021_CAS_LP HOLL 5_10_N19-1572_4_NIR-07490
NIR-07489,60,2021,LP HOLL 5,CAS,10,N19-1572,3,2021_CAS_LP HOLL 5_10_N19-1572_3_NIR-07489
NIR-07488,33,2021,LP HOLL 5,CAS,10,N19-1572,2,2021_CAS_LP HOLL 5_10_N19-1572_2_NIR-07488
NIR-07487,17,2021,LP HOLL 5,CAS,10,N19-1572,1,2021_CAS_LP HOLL 5_10_N19-1572_1_NIR-07487
NIR-07486,66,2021,LP HOLL 5,CAS,9,N19-1551,4,2021_CAS_LP HOLL 5_9_N19-1551_4_NIR-07486
NIR-07485,54,2021,LP HOLL 5,CAS,9,N19-1551,3,2021_CAS_LP HOLL 5_9_N19-1551_3_NIR-07485
NIR-07484,23,2021,LP HOLL 5,CAS,9,N19-1551,2,2021_CAS_LP HOLL 5_9_N19-1551_2_NIR-07484
NIR-07483,6,2021,LP HOLL 5,CAS,9,N19-1551,1,2021_CAS_LP HOLL 5_9_N19-1551_1_NIR-07483
NIR-07482,65,2021,LP HOLL 5,CAS,8,N19-1547,4,2021_CAS_LP HOLL 5_8_N19-1547_4_NIR-07482
NIR-07481,53,2021,LP HOLL 5,CAS,8,N19-1547,3,2021_CAS_LP HOLL 5_8_N19-1547_3_NIR-07481
NIR-07480,36,2021,LP HOLL 5,CAS,8,N19-1547,2,2021_CAS_LP HOLL 5_8_N19-1547_2_NIR-07480
NIR-07479,11,2021,LP HOLL 5,CAS,8,N19-1547,1,2021_CAS_LP HOLL 5_8_N19-1547_1_NIR-07479
NIR-07478,67,2021,LP HOLL 5,CAS,7,N19-1539,4,2021_CAS_LP HOLL 5_7_N19-1539_4_NIR-07478
NIR-07477,50,2021,LP HOLL 5,CAS,7,N19-1539,3,2021_CAS_LP HOLL 5_7_N19-1539_3_NIR-07477
NIR-07476,24,2021,LP HOLL 5,CAS,7,N19-1539,2,2021_CAS_LP HOLL 5_7_N19-1539_2_NIR-07476
NIR-07475,7,2021,LP HOLL 5,CAS,7,N19-1539,1,2021_CAS_LP HOLL 5_7_N19-1539_1_NIR-07475
NIR-07474,64,2021,LP HOLL 5,CAS,6,N19-1538,4,2021_CAS_LP HOLL 5_6_N19-1538_4_NIR-07474
NIR-07473,59,2021,LP HOLL 5,CAS,6,N19-1538,3,2021_CAS_LP HOLL 5_6_N19-1538_3_NIR-07473
NIR-07472,39,2021,LP HOLL 5,CAS,6,N19-1538,2,2021_CAS_LP HOLL 5_6_N19-1538_2_NIR-07472
NIR-07471,8,2021,LP HOLL 5,CAS,6,N19-1538,1,2021_CAS_LP HOLL 5_6_N19-1538_1_NIR-07471
NIR-07470,71,2021,LP HOLL 5,CAS,5,N19-1525,4,2021_CAS_LP HOLL 5_5_N19-1525_4_NIR-07470
NIR-07469,42,2021,LP HOLL 5,CAS,5,N19-1525,3,2021_CAS_LP HOLL 5_5_N19-1525_3_NIR-07469
NIR-07468,32,2021,LP HOLL 5,CAS,5,N19-1525,2,2021_CAS_LP HOLL 5_5_N19-1525_2_NIR-07468
NIR-07467,12,2021,LP HOLL 5,CAS,5,N19-1525,1,2021_CAS_LP HOLL 5_5_N19-1525_1_NIR-07467
NIR-07466,73,2021,LP HOLL 5,CAS,4,N19-1523,4,2021_CAS_LP HOLL 5_4_N19-1523_4_NIR-07466
NIR-07465,43,2021,LP HOLL 5,CAS,4,N19-1523,3,2021_CAS_LP HOLL 5_4_N19-1523_3_NIR-07465
NIR-07464,29,2021,LP HOLL 5,CAS,4,N19-1523,2,2021_CAS_LP HOLL 5_4_N19-1523_2_NIR-07464
NIR-07463,5,2021,LP HOLL 5,CAS,4,N19-1523,1,2021_CAS_LP HOLL 5_4_N19-1523_1_NIR-07463
NIR-07462,76,2021,LP HOLL 5,CAS,3,N19-1512,4,2021_CAS_LP HOLL 5_3_N19-1512_4_NIR-07462
NIR-07461,46,2021,LP HOLL 5,CAS,3,N19-1512,3,2021_CAS_LP HOLL 5_3_N19-1512_3_NIR-07461
NIR-07460,28,2021,LP HOLL 5,CAS,3,N19-1512,2,2021_CAS_LP HOLL 5_3_N19-1512_2_NIR-07460
NIR-07459,3,2021,LP HOLL 5,CAS,3,N19-1512,1,2021_CAS_LP HOLL 5_3_N19-1512_1_NIR-07459
NIR-07458,80,2021,LP HOLL 5,CAS,2,N19-1506,4,2021_CAS_LP HOLL 5_2_N19-1506_4_NIR-07458
NIR-07457,47,2021,LP HOLL 5,CAS,2,N19-1506,3,2021_CAS_LP HOLL 5_2_N19-1506_3_NIR-07457
NIR-07456,38,2021,LP HOLL 5,CAS,2,N19-1506,2,2021_CAS_LP HOLL 5_2_N19-1506_2_NIR-07456
NIR-07455,20,2021,LP HOLL 5,CAS,2,N19-1506,1,2021_CAS_LP HOLL 5_2_N19-1506_1_NIR-07455
NIR-07454,72,2021,LP HOLL 5,CAS,1,N19-1503,4,2021_CAS_LP HOLL 5_1_N19-1503_4_NIR-07454
NIR-07453,49,2021,LP HOLL 5,CAS,1,N19-1503,3,2021_CAS_LP HOLL 5_1_N19-1503_3_NIR-07453
NIR-07452,35,2021,LP HOLL 5,CAS,1,N19-1503,2,2021_CAS_LP HOLL 5_1_N19-1503_2_NIR-07452
NIR-07451,15,2021,LP HOLL 5,CAS,1,N19-1503,1,2021_CAS_LP HOLL 5_1_N19-1503_1_NIR-07451
NIR-07610,79,2021,LP HOLL 5,PLY,20,Osage,4,2021_PLY_LP HOLL 5_20_Osage_4_NIR-07610
NIR-07609,56,2021,LP HOLL 5,PLY,20,Osage,3,2021_PLY_LP HOLL 5_20_Osage_3_NIR-07609
NIR-07608,29,2021,LP HOLL 5,PLY,20,Osage,2,2021_PLY_LP HOLL 5_20_Osage_2_NIR-07608
NIR-07607,8,2021,LP HOLL 5,PLY,20,Osage,1,2021_PLY_LP HOLL 5_20_Osage_1_NIR-07607
NIR-07606,74,2021,LP HOLL 5,PLY,19,N16-1296,4,2021_PLY_LP HOLL 5_19_N16-1296_4_NIR-07606
NIR-07605,44,2021,LP HOLL 5,PLY,19,N16-1296,3,2021_PLY_LP HOLL 5_19_N16-1296_3_NIR-07605
NIR-07604,35,2021,LP HOLL 5,PLY,19,N16-1296,2,2021_PLY_LP HOLL 5_19_N16-1296_2_NIR-07604
NIR-07603,11,2021,LP HOLL 5,PLY,19,N16-1296,1,2021_PLY_LP HOLL 5_19_N16-1296_1_NIR-07603
NIR-07602,71,2021,LP HOLL 5,PLY,18,NC-Miller,4,2021_PLY_LP HOLL 5_18_NC-Miller_4_NIR-07602
NIR-07601,47,2021,LP HOLL 5,PLY,18,NC-Miller,3,2021_PLY_LP HOLL 5_18_NC-Miller_3_NIR-07601
NIR-07600,34,2021,LP HOLL 5,PLY,18,NC-Miller,2,2021_PLY_LP HOLL 5_18_NC-Miller_2_NIR-07600
NIR-07599,5,2021,LP HOLL 5,PLY,18,NC-Miller,1,2021_PLY_LP HOLL 5_18_NC-Miller_1_NIR-07599
NIR-07598,69,2021,LP HOLL 5,PLY,17,N19-1653,4,2021_PLY_LP HOLL 5_17_N19-1653_4_NIR-07598
NIR-07597,57,2021,LP HOLL 5,PLY,17,N19-1653,3,2021_PLY_LP HOLL 5_17_N19-1653_3_NIR-07597
NIR-07596,25,2021,LP HOLL 5,PLY,17,N19-1653,2,2021_PLY_LP HOLL 5_17_N19-1653_2_NIR-07596
NIR-07595,20,2021,LP HOLL 5,PLY,17,N19-1653,1,2021_PLY_LP HOLL 5_17_N19-1653_1_NIR-07595
NIR-07594,64,2021,LP HOLL 5,PLY,16,N19-1643,4,2021_PLY_LP HOLL 5_16_N19-1643_4_NIR-07594
NIR-07593,41,2021,LP HOLL 5,PLY,16,N19-1643,3,2021_PLY_LP HOLL 5_16_N19-1643_3_NIR-07593
NIR-07592,33,2021,LP HOLL 5,PLY,16,N19-1643,2,2021_PLY_LP HOLL 5_16_N19-1643_2_NIR-07592
NIR-07591,10,2021,LP HOLL 5,PLY,16,N19-1643,1,2021_PLY_LP HOLL 5_16_N19-1643_1_NIR-07591
NIR-07590,70,2021,LP HOLL 5,PLY,15,N19-1641,4,2021_PLY_LP HOLL 5_15_N19-1641_4_NIR-07590
NIR-07589,48,2021,LP HOLL 5,PLY,15,N19-1641,3,2021_PLY_LP HOLL 5_15_N19-1641_3_NIR-07589
NIR-07588,31,2021,LP HOLL 5,PLY,15,N19-1641,2,2021_PLY_LP HOLL 5_15_N19-1641_2_NIR-07588
NIR-07587,18,2021,LP HOLL 5,PLY,15,N19-1641,1,2021_PLY_LP HOLL 5_15_N19-1641_1_NIR-07587
NIR-07586,62,2021,LP HOLL 5,PLY,14,N19-1634,4,2021_PLY_LP HOLL 5_14_N19-1634_4_NIR-07586
NIR-07585,55,2021,LP HOLL 5,PLY,14,N19-1634,3,2021_PLY_LP HOLL 5_14_N19-1634_3_NIR-07585
NIR-07584,24,2021,LP HOLL 5,PLY,14,N19-1634,2,2021_PLY_LP HOLL 5_14_N19-1634_2_NIR-07584
NIR-07583,9,2021,LP HOLL 5,PLY,14,N19-1634,1,2021_PLY_LP HOLL 5_14_N19-1634_1_NIR-07583
NIR-07582,73,2021,LP HOLL 5,PLY,13,N19-1628,4,2021_PLY_LP HOLL 5_13_N19-1628_4_NIR-07582
NIR-07581,45,2021,LP HOLL 5,PLY,13,N19-1628,3,2021_PLY_LP HOLL 5_13_N19-1628_3_NIR-07581
NIR-07580,28,2021,LP HOLL 5,PLY,13,N19-1628,2,2021_PLY_LP HOLL 5_13_N19-1628_2_NIR-07580
NIR-07579,12,2021,LP HOLL 5,PLY,13,N19-1628,1,2021_PLY_LP HOLL 5_13_N19-1628_1_NIR-07579
NIR-07578,67,2021,LP HOLL 5,PLY,12,N19-1586,4,2021_PLY_LP HOLL 5_12_N19-1586_4_NIR-07578
NIR-07577,54,2021,LP HOLL 5,PLY,12,N19-1586,3,2021_PLY_LP HOLL 5_12_N19-1586_3_NIR-07577
NIR-07576,30,2021,LP HOLL 5,PLY,12,N19-1586,2,2021_PLY_LP HOLL 5_12_N19-1586_2_NIR-07576
NIR-07575,19,2021,LP HOLL 5,PLY,12,N19-1586,1,2021_PLY_LP HOLL 5_12_N19-1586_1_NIR-07575
NIR-07574,78,2021,LP HOLL 5,PLY,11,N19-1585,4,2021_PLY_LP HOLL 5_11_N19-1585_4_NIR-07574
NIR-07573,59,2021,LP HOLL 5,PLY,11,N19-1585,3,2021_PLY_LP HOLL 5_11_N19-1585_3_NIR-07573
NIR-07572,23,2021,LP HOLL 5,PLY,11,N19-1585,2,2021_PLY_LP HOLL 5_11_N19-1585_2_NIR-07572
NIR-07571,2,2021,LP HOLL 5,PLY,11,N19-1585,1,2021_PLY_LP HOLL 5_11_N19-1585_1_NIR-07571
NIR-07570,72,2021,LP HOLL 5,PLY,10,N19-1572,4,2021_PLY_LP HOLL 5_10_N19-1572_4_NIR-07570
NIR-07569,46,2021,LP HOLL 5,PLY,10,N19-1572,3,2021_PLY_LP HOLL 5_10_N19-1572_3_NIR-07569
NIR-07568,37,2021,LP HOLL 5,PLY,10,N19-1572,2,2021_PLY_LP HOLL 5_10_N19-1572_2_NIR-07568
NIR-07567,13,2021,LP HOLL 5,PLY,10,N19-1572,1,2021_PLY_LP HOLL 5_10_N19-1572_1_NIR-07567
NIR-07566,80,2021,LP HOLL 5,PLY,9,N19-1551,4,2021_PLY_LP HOLL 5_9_N19-1551_4_NIR-07566
NIR-07565,42,2021,LP HOLL 5,PLY,9,N19-1551,3,2021_PLY_LP HOLL 5_9_N19-1551_3_NIR-07565
NIR-07564,40,2021,LP HOLL 5,PLY,9,N19-1551,2,2021_PLY_LP HOLL 5_9_N19-1551_2_NIR-07564
NIR-07563,1,2021,LP HOLL 5,PLY,9,N19-1551,1,2021_PLY_LP HOLL 5_9_N19-1551_1_NIR-07563
NIR-07562,76,2021,LP HOLL 5,PLY,8,N19-1547,4,2021_PLY_LP HOLL 5_8_N19-1547_4_NIR-07562
NIR-07561,53,2021,LP HOLL 5,PLY,8,N19-1547,3,2021_PLY_LP HOLL 5_8_N19-1547_3_NIR-07561
NIR-07560,38,2021,LP HOLL 5,PLY,8,N19-1547,2,2021_PLY_LP HOLL 5_8_N19-1547_2_NIR-07560
NIR-07559,14,2021,LP HOLL 5,PLY,8,N19-1547,1,2021_PLY_LP HOLL 5_8_N19-1547_1_NIR-07559
NIR-07558,77,2021,LP HOLL 5,PLY,7,N19-1539,4,2021_PLY_LP HOLL 5_7_N19-1539_4_NIR-07558
NIR-07557,43,2021,LP HOLL 5,PLY,7,N19-1539,3,2021_PLY_LP HOLL 5_7_N19-1539_3_NIR-07557
NIR-07556,39,2021,LP HOLL 5,PLY,7,N19-1539,2,2021_PLY_LP HOLL 5_7_N19-1539_2_NIR-07556
NIR-07555,3,2021,LP HOLL 5,PLY,7,N19-1539,1,2021_PLY_LP HOLL 5_7_N19-1539_1_NIR-07555
NIR-07554,61,2021,LP HOLL 5,PLY,6,N19-1538,4,2021_PLY_LP HOLL 5_6_N19-1538_4_NIR-07554
NIR-07553,51,2021,LP HOLL 5,PLY,6,N19-1538,3,2021_PLY_LP HOLL 5_6_N19-1538_3_NIR-07553
NIR-07552,36,2021,LP HOLL 5,PLY,6,N19-1538,2,2021_PLY_LP HOLL 5_6_N19-1538_2_NIR-07552
NIR-07551,15,2021,LP HOLL 5,PLY,6,N19-1538,1,2021_PLY_LP HOLL 5_6_N19-1538_1_NIR-07551
NIR-07550,68,2021,LP HOLL 5,PLY,5,N19-1525,4,2021_PLY_LP HOLL 5_5_N19-1525_4_NIR-07550
NIR-07549,49,2021,LP HOLL 5,PLY,5,N19-1525,3,2021_PLY_LP HOLL 5_5_N19-1525_3_NIR-07549
NIR-07548,26,2021,LP HOLL 5,PLY,5,N19-1525,2,2021_PLY_LP HOLL 5_5_N19-1525_2_NIR-07548
NIR-07547,7,2021,LP HOLL 5,PLY,5,N19-1525,1,2021_PLY_LP HOLL 5_5_N19-1525_1_NIR-07547
NIR-07546,65,2021,LP HOLL 5,PLY,4,N19-1523,4,2021_PLY_LP HOLL 5_4_N19-1523_4_NIR-07546
NIR-07545,50,2021,LP HOLL 5,PLY,4,N19-1523,3,2021_PLY_LP HOLL 5_4_N19-1523_3_NIR-07545
NIR-07544,22,2021,LP HOLL 5,PLY,4,N19-1523,2,2021_PLY_LP HOLL 5_4_N19-1523_2_NIR-07544
NIR-07543,4,2021,LP HOLL 5,PLY,4,N19-1523,1,2021_PLY_LP HOLL 5_4_N19-1523_1_NIR-07543
NIR-07542,75,2021,LP HOLL 5,PLY,3,N19-1512,4,2021_PLY_LP HOLL 5_3_N19-1512_4_NIR-07542
NIR-07541,52,2021,LP HOLL 5,PLY,3,N19-1512,3,2021_PLY_LP HOLL 5_3_N19-1512_3_NIR-07541
NIR-07540,27,2021,LP HOLL 5,PLY,3,N19-1512,2,2021_PLY_LP HOLL 5_3_N19-1512_2_NIR-07540
NIR-07539,6,2021,LP HOLL 5,PLY,3,N19-1512,1,2021_PLY_LP HOLL 5_3_N19-1512_1_NIR-07539
NIR-07538,66,2021,LP HOLL 5,PLY,2,N19-1506,4,2021_PLY_LP HOLL 5_2_N19-1506_4_NIR-07538
NIR-07537,58,2021,LP HOLL 5,PLY,2,N19-1506,3,2021_PLY_LP HOLL 5_2_N19-1506_3_NIR-07537
NIR-07536,21,2021,LP HOLL 5,PLY,2,N19-1506,2,2021_PLY_LP HOLL 5_2_N19-1506_2_NIR-07536
NIR-07535,16,2021,LP HOLL 5,PLY,2,N19-1506,1,2021_PLY_LP HOLL 5_2_N19-1506_1_NIR-07535
NIR-07534,63,2021,LP HOLL 5,PLY,1,N19-1503,4,2021_PLY_LP HOLL 5_1_N19-1503_4_NIR-07534
NIR-07533,60,2021,LP HOLL 5,PLY,1,N19-1503,3,2021_PLY_LP HOLL 5_1_N19-1503_3_NIR-07533
NIR-07532,32,2021,LP HOLL 5,PLY,1,N19-1503,2,2021_PLY_LP HOLL 5_1_N19-1503_2_NIR-07532
NIR-07531,17,2021,LP HOLL 5,PLY,1,N19-1503,1,2021_PLY_LP HOLL 5_1_N19-1503_1_NIR-07531
NIR-07690,70,2021,LP HOLL 6,CAS,20,NC-Roy,4,2021_CAS_LP HOLL 6_20_NC-Roy_4_NIR-07690
NIR-07689,60,2021,LP HOLL 6,CAS,20,NC-Roy,3,2021_CAS_LP HOLL 6_20_NC-Roy_3_NIR-07689
NIR-07688,32,2021,LP HOLL 6,CAS,20,NC-Roy,2,2021_CAS_LP HOLL 6_20_NC-Roy_2_NIR-07688
NIR-07687,5,2021,LP HOLL 6,CAS,20,NC-Roy,1,2021_CAS_LP HOLL 6_20_NC-Roy_1_NIR-07687
NIR-07686,66,2021,LP HOLL 6,CAS,19,Dunphy,4,2021_CAS_LP HOLL 6_19_Dunphy_4_NIR-07686
NIR-07685,54,2021,LP HOLL 6,CAS,19,Dunphy,3,2021_CAS_LP HOLL 6_19_Dunphy_3_NIR-07685
NIR-07684,34,2021,LP HOLL 6,CAS,19,Dunphy,2,2021_CAS_LP HOLL 6_19_Dunphy_2_NIR-07684
NIR-07683,20,2021,LP HOLL 6,CAS,19,Dunphy,1,2021_CAS_LP HOLL 6_19_Dunphy_1_NIR-07683
NIR-07682,68,2021,LP HOLL 6,CAS,18,N16-1286,4,2021_CAS_LP HOLL 6_18_N16-1286_4_NIR-07682
NIR-07681,45,2021,LP HOLL 6,CAS,18,N16-1286,3,2021_CAS_LP HOLL 6_18_N16-1286_3_NIR-07681
NIR-07680,29,2021,LP HOLL 6,CAS,18,N16-1286,2,2021_CAS_LP HOLL 6_18_N16-1286_2_NIR-07680
